character,ascension,floor,hp,gold,path,deck,relics,victory
0,0,13,38,36,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,14,42,51,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,15,42,51,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,16,39,154,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,17,85,204,M|?|M|?|M|R|E|R|T|?|$|E|$|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
0,0,23,48,243,M|M|M|M|?|R|$|E|T|E|M|R|M|M|R|BOSS|,Strike_R+1|Defend_R+1|Defend_R+1|Defend_R|Bash|The Bomb+1|Shrug It Off+1|Flex|Shrug It Off|Armaments+1|True Grit+1|Body Slam+1|Barricade+1|Inflame|CurseOfTheBell|Shrug It Off+1|Shrug It Off+1|Impervious+1|Entrench+1,Burning Blood|Mummified Hand|Incense Burner|CaptainsWheel|Tiny House|Letter Opener|Lantern|Bottled Flame|Calling Bell|Regal Pillow|Frozen Egg 2|Gambling Chip|OrangePellets|Oddly Smooth Stone|FossilizedHelix|Kunai|Mango,1
3,0,6,31,48,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,7,31,59,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,8,31,59,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,9,31,136,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,10,31,1,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,11,31,1,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,12,24,26,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,13,24,26,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,14,24,26,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,15,24,26,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,16,0,26,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
3,0,17,0,26,M|?|?|$|M|E|M|$|T|?|R|E|?|?|R|BOSS|,Strike_P|Strike_P|Defend_P|Defend_P|Defend_P|Defend_P|Eruption|Vigilance|JustLucky|CutThroughFate|FlurryOfBlows|Tantrum|FlurryOfBlows+1|InnerPeace|Impatience,Runic Dome|Turnip|InkBottle|Boot|Girya,0
2,7,1,68,119,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
2,7,2,68,44,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
2,7,3,68,44,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
2,7,4,68,59,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
2,7,5,61,134,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
2,7,6,61,169,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
2,7,7,61,169,M|$|?|?|?|E|R|E|T|R|?|E|$|M|R|BOSS|,Strike_B|Defend_B+1|Zap+1|Dualcast+1|BootSequence+1|Rainbow+1|Impatience+1,Cracked Core|NeowsBlessing|Happy Flower|StrikeDummy|Bag of Preparation|War Paint|Ginger|Empty Cage|Symbiotic Virus,0
